Name,District-ID,District,Cordenate-X,Cordenate-Y,latitude,longitude,Type
Mercado municipal de Antón Martín,1.0,centro,440710.0,4473658.0,40411422452721504,-36988110198857104,market
Mercado municipal de Barceló,1.0,centro,440683.0,4475365.0,4042680707802060,-36992767323438304,market
Mercado municipal de Los Mostenses,1.0,centro,439862.0,4474976.0,40423243776104,-37089296405152096,market
Mercado municipal de San Antón,1.0,centro,440825.0,4474835.0,40422042629795200,-3697565301846020,market
Mercado municipal de San Fernando (Embajadores),1.0,centro,440274.0,4473236.0,40407598710636000,-37039098865773904,market
Mercado municipal de la Cebada,1.0,centro,439780.0,4473650.0,4041129262886910,-37097706603113504,market
Mercado municipal de Guillermo de Osma,2.0,arganzuela,441042.0,4472034.0,403949437306698,-36960129848486096,market
Mercado municipal de Santa María de la Cabeza,2.0,arganzuela,440832.0,4472713.0,4040291810276810,-36972853519882400,market
Mercado municipal de Ibiza,3.0,retiro,442533.0,4474392.0,4041817157699020,-3677392762224420,market
Mercado municipal de Pacífico,3.0,retiro,442677.0,4472855.0,4040433546207180,-36755452423143400,market
Mercado municipal de Diego de León,4.0,salamanca,442116.0,4476236.0,4043475434372190,-36824756273454704,market
Mercado municipal de La Guindalera,4.0,salamanca,443083.0,4476157.0,4043410047219340,-3671056299540890,market
Mercado municipal de la Paz,4.0,salamanca,441826.0,4475458.0,4042772557961970,-36858115591230600,market
Mercado municipal de Chamartín,5.0,chamartin,442509.0,4478737.0,40457311867437296,-3678056977192460,market
Mercado municipal de Prosperidad,5.0,chamartin,442833.0,4477298.0,404443619472988,-3674118079721270,market
Mercado municipal de San Cristóbal,5.0,chamartin,442053.0,4481294.0,4047843331496170,-36849469591835400,market
Mercado municipal de Maravillas,6.0,tetuan,440347.0,4477839.0,40449060922663600,-37034696566148400,market
Mercado municipal de San Enrique,6.0,tetuan,440716.0,4478818.0,40456033970000704,-37004877796909504,market
Mercado municipal de Tetuán,6.0,tetuan,440752.0,4479160.0,404609899402179,-36988290271823696,market
Mercado municipal de la Remonta,6.0,tetuan,440972.0,4479488.0,40463969366476400,-3696264958640330,market
Mercado municipal de Chamberí,7.0,chamberi,440811.0,4476407.0,4043620300971710,-36978649027841800,market
Mercado municipal de Guzmán el Bueno,7.0,chamberi,439398.0,4476280.0,4043495717590030,-37145114819530304,market
Mercado municipal de Vallehermoso,7.0,chamberi,439904.0,4476186.0,4043413801893940,-37085488662890896,market
Mercado municipal de Argüelles,9.0,moncloa-aravaca,439107.0,4475866.0,40431197427341104,-37179024231789400,market
