Year,District-ID,District,January,February,March,April,May,June,July,August,September,October,November,December
2012,0,city of madrid,3195,3195,3195,3107,3107,3107,3079,3079,3079,3000,3000,3000
2012,1,centro,3484,3484,3484,3390,3390,3390,3312,3312,3312,3202,3202,3202
2012,2,arganzuela,3023,3023,3023,2898,2898,2898,2790,2790,2790,2690,2690,2690
2012,3,retiro,3770,3770,3770,3661,3661,3661,3611,3611,3611,3460,3460,3460
2012,4,salamanca,4388,4388,4388,4267,4267,4267,4297,4297,4297,4173,4173,4173
2012,5,chamartín,4216,4216,4216,4128,4128,4128,4028,4028,4028,3965,3965,3965
2012,6,tetuán,2996,2996,2996,2920,2920,2920,2819,2819,2819,2724,2724,2724
2012,7,chamberí,4189,4189,4189,4055,4055,4055,3930,3930,3930,3772,3772,3772
2012,8,fuencarral-el pardo,3121,3121,3121,3016,3016,3016,2948,2948,2948,2835,2835,2835
2012,9,moncloa-aravaca,3602,3602,3602,3498,3498,3498,3440,3440,3440,3295,3295,3295
2012,10,latina,2050,2050,2050,2004,2004,2004,1909,1909,1909,1821,1821,1821
2012,11,carabanchel,2068,2068,2068,1981,1981,1981,1875,1875,1875,1821,1821,1821
2012,12,usera,1877,1877,1877,1807,1807,1807,1739,1739,1739,1689,1689,1689
2012,13,puente de vallecas,1758,1758,1758,1712,1712,1712,1622,1622,1622,1570,1570,1570
2012,14,moratalaz,2248,2248,2248,2178,2178,2178,2098,2098,2098,2013,2013,2013
2012,15,ciudad lineal,3009,3009,3009,2928,2928,2928,2820,2820,2820,2729,2729,2729
2012,16,hortaleza,3222,3222,3222,3116,3116,3116,3034,3034,3034,2951,2951,2951
2012,17,villaverde,1667,1667,1667,1593,1593,1593,1520,1520,1520,1492,1492,1492
2012,18,villa de vallecas,2267,2267,2267,2183,2183,2183,2163,2163,2163,2083,2083,2083
2012,19,vicálvaro,2167,2167,2167,2041,2041,2041,1864,1864,1864,1794,1794,1794
2012,20,san blas-canillejas,2478,2478,2478,2372,2372,2372,2294,2294,2294,2176,2176,2176
2012,21,barajas,3023,3023,3023,2928,2928,2928,2869,2869,2869,2777,2777,2777
2013,0,city of madrid,2946,2946,2946,2923,2923,2923,2836,2836,2836,2824,2824,2824
2013,1,centro,3155,3155,3155,3081,3081,3081,3434,3434,3434,3354,3354,3354
2013,2,arganzuela,2680,2680,2680,2584,2584,2584,2685,2685,2685,2797,2797,2797
2013,3,retiro,3405,3405,3405,3401,3401,3401,3539,3539,3539,3322,3322,3322
2013,4,salamanca,4040,4040,4040,4005,4005,4005,4148,4148,4148,4116,4116,4116
2013,5,chamartín,3873,3873,3873,3820,3820,3820,3758,3758,3758,3747,3747,3747
2013,6,tetuán,2840,2840,2840,2790,2790,2790,2730,2730,2730,2643,2643,2643
2013,7,chamberí,3660,3660,3660,3625,3625,3625,3682,3682,3682,3567,3567,3567
2013,8,fuencarral-el pardo,2788,2788,2788,2717,2717,2717,2885,2885,2885,2805,2805,2805
2013,9,moncloa-aravaca,3218,3218,3218,3147,3147,3147,3324,3324,3324,3334,3334,3334
2013,10,latina,1803,1803,1803,1764,1764,1764,1926,1926,1926,1879,1879,1879
2013,11,carabanchel,1799,1799,1799,1740,1740,1740,1797,1797,1797,1857,1857,1857
2013,12,usera,1656,1656,1656,1590,1590,1590,1745,1745,1745,1678,1678,1678
2013,13,puente de vallecas,1538,1538,1538,1493,1493,1493,1627,1627,1627,1618,1618,1618
2013,14,moratalaz,1943,1943,1943,1940,1940,1940,1999,1999,1999,2038,2038,2038
2013,15,ciudad lineal,2660,2660,2660,2593,2593,2593,2525,2525,2525,2631,2631,2631
2013,16,hortaleza,2957,2957,2957,2965,2965,2965,3021,3021,3021,3017,3017,3017
2013,17,villaverde,1441,1441,1441,1391,1391,1391,1475,1475,1475,1408,1408,1408
2013,18,villa de vallecas,2078,2078,2078,2012,2012,2012,2286,2286,2286,2168,2168,2168
2013,19,vicálvaro,1802,1802,1802,1681,1681,1681,1711,1711,1711,1825,1825,1825
2013,20,san blas-canillejas,2112,2112,2112,2089,2089,2089,2259,2259,2259,2206,2206,2206
2013,21,barajas,2775,2775,2775,2625,2625,2625,2727,2727,2727,2764,2764,2764
2014,0,city of madrid,2775,2775,2775,2721,2721,2721,2702,2702,2702,2694,2694,2694
2014,1,centro,3412,3412,3412,3337,3337,3337,3276,3276,3276,3285,3285,3285
2014,2,arganzuela,2828,2828,2828,2685,2685,2685,2638,2638,2638,2653,2653,2653
2014,3,retiro,3374,3374,3374,3389,3389,3389,3365,3365,3365,3274,3274,3274
2014,4,salamanca,4247,4247,4247,4130,4130,4130,4134,4134,4134,4138,4138,4138
2014,5,chamartín,3735,3735,3735,3674,3674,3674,3652,3652,3652,3717,3717,3717
2014,6,tetuán,2701,2701,2701,2602,2602,2602,2567,2567,2567,2545,2545,2545
2014,7,chamberí,3683,3683,3683,3644,3644,3644,3629,3629,3629,3630,3630,3630
2014,8,fuencarral-el pardo,2821,2821,2821,2678,2678,2678,2656,2656,2656,2656,2656,2656
2014,9,moncloa-aravaca,3312,3312,3312,3257,3257,3257,3204,3204,3204,3157,3157,3157
2014,10,latina,1857,1857,1857,1723,1723,1723,1677,1677,1677,1590,1590,1590
2014,11,carabanchel,1798,1798,1798,1698,1698,1698,1640,1640,1640,1602,1602,1602
2014,12,usera,1647,1647,1647,1500,1500,1500,1475,1475,1475,1470,1470,1470
2014,13,puente de vallecas,1608,1608,1608,1487,1487,1487,1456,1456,1456,1396,1396,1396
2014,14,moratalaz,2079,2079,2079,1968,1968,1968,1929,1929,1929,1952,1952,1952
2014,15,ciudad lineal,2666,2666,2666,2582,2582,2582,2514,2514,2514,2464,2464,2464
2014,16,hortaleza,2956,2956,2956,2782,2782,2782,2779,2779,2779,2765,2765,2765
2014,17,villaverde,1299,1299,1299,1235,1235,1235,1218,1218,1218,1239,1239,1239
2014,18,villa de vallecas,2183,2183,2183,2010,2010,2010,1988,1988,1988,1914,1914,1914
2014,19,vicálvaro,1836,1836,1836,1691,1691,1691,1693,1693,1693,1692,1692,1692
2014,20,san blas-canillejas,2152,2152,2152,2032,2032,2032,2015,2015,2015,1983,1983,1983
2014,21,barajas,2828,2828,2828,2716,2716,2716,2611,2611,2611,2583,2583,2583
2015,0,city of madrid,2771,2771,2771,2810,2810,2810,2834,2834,2834,2820,2820,2820
2015,1,centro,3346,3346,3346,3424,3424,3424,3538,3538,3538,3568,3568,3568
2015,2,arganzuela,2671,2671,2671,2714,2714,2714,2787,2787,2787,2746,2746,2746
