Station-id,Name,District-ID,Cordenate-X,Cordenate-Y,Type
38,NOVICIADO,1,440100.0,4475360.0,Metro
175,ESTRELLA,14,443960.0,4473846.0,Metro
7,RIOS ROSAS,7,440632.0,4477258.0,Metro
102,CAMPAMENTO,10,434921.0,4472069.0,Metro
109,USERA,12,440111.0,4471170.0,Metro
115,O'DONNELL,4,443392.0,4475118.0,Metro
128,PUERTA DEL ANGEL,10,438409.0,4474159.0,Metro
230,EL BERCIAL,3,438128.0,4464745.0,Metro
268,HOSPITAL 12 DE OCTUBRE,12,441038.0,4469823.0,Metro
267,ALMENDRALES,12,440873.0,4470831.0,Metro
47,LAVAPIES,1,440638.0,4473543.0,Metro
269,SAN FERMIN-ORCASUR,12,441176.0,4469263.0,Metro
135,GARCIA NOBLEJAS,15,446390.0,4475710.0,Metro
142,GREGORIO MARAÑON,7,441463.0,4476838.0,Metro
150,PEÑAGRANDE,8,439433.0,4481036.0,Metro
161,HERRERA ORIA,8,440145.0,4482000.0,Metro
166,PIO XII,5,442815.0,4479575.0,Metro
52,ARGÜELLES,7,439380.0,4476012.0,Metro
88,CALLAO,1,440245.0,4474831.0,Metro
264,HORTALEZA,16,444794.0,4480933.0,Metro
285,AEROPUERTO T4,21,449835.0,4482717.0,Metro
154,PITIS,8,438597.0,4483172.0,Metro
214,MOSTOLES CENTRAL,2,426752.0,4464784.0,Metro
91,PUERTA DE TOLEDO,1,439776.0,4473386.0,Metro
279,LA MORALEJA,1,446281.0,4487203.0,Metro
221,FUENLABRADA CENTRAL,4,432197.0,4459646.0,Metro
140,CARTAGENA,5,443104.0,4476946.0,Metro
197,PLAZA DE ESPAÑA,1,439906.0,4475278.0,Metro
145,ISLAS FILIPINAS,7,439577.0,4476943.0,Metro
173,IBIZA,3,442541.0,4474625.0,Metro
5,ALVARADO,6,440471.0,4478187.0,Metro
58,COLON,7,441493.0,4475413.0,Metro
34,SEVILLA,1,440787.0,4474601.0,Metro
33,BANCO DE ESPAÑA,1,441152.0,4474728.0,Metro
4,ESTRECHO,6,440499.0,4478625.0,Metro
300,RIVAS FUTURA,1,455537.0,4465984.0,Metro
108,PLAZA ELIPTICA,11,439135.0,4470901.0,Metro
