 ID-EVENTO,Title,District,X-coordinate,Y-coordinate,Latitude,Length,Type
11893656,"1,2,3... Relax a través del yoga",chamberi,439412.0,4476170.0,4.04339582609609e+16,-3.71433584866894e+16,['CursosTalleres']
11951201,20 a tocar,usera,439486.0,4470667.0,4038439900273860.0,-3.71295199684294e+16,['Musica']
11942368,3 cromosomas de Janira León,fuencarral-el pardo,439867.0,4481122.0,4047860087334550.0,-3.70944083429799e+16,['RecitalesPresentacionesActosLiterarios']
11885588,"3, 2, 1... Impro: taller de improvisación de teatro",carabanchel,438758.0,4471886.0,4.03953264068879e+16,-3721622686264930.0,['CursosTalleres']
11835158,3ª Edición Paseos Morados,villaverde,439286.0,4466819.0,403497106325215.0,-3.71494162910067e+16,['ExcursionesItinerariosVisitas']
11958859,4 patas tiene un cuento,retiro,441967.0,4474495.0,4041906024374350.0,-3.68406153879269e+16,['TeatroPerformance']
11932870,5 Historias,vicalvaro,448357.0,4472920.0,4.0405292721436e+16,-3.60861612000171e+16,['Musica']
11948971,58 Premio Reina Sofía.,retiro,441967.0,4474495.0,4041906024374350.0,-3.68406153879269e+16,[]
11952493,8 de marzo. Programa conmemoración Día Internacional de la Mujer en Chamartín,chamartin,442656.0,4477714.0,4044810636195710.0,-3.67623096200973e+16,[]
11939206,"8 de marzo: ¡Si no puedo bailar, no es mi revolución!",villa de vallecas,446579.0,4469157.0,4037128211425510.0,-3.62924603516998e+16,['CursosTalleres']
11942319,8M en red: quién es quién en los Espacios de Igualdad,chamberi,439412.0,4476170.0,4.04339582609609e+16,-3.71433584866894e+16,[]
11944072,8M en red: quién es quién en los Espacios de Igualdad,carabanchel,438758.0,4471886.0,4.03953264068879e+16,-3721622686264930.0,[]
11913908,"Abriendo el corazón: amor, compasión",retiro,442345.0,4474221.0,404166091081099.0,-3.67959303680348e+16,['ConferenciasColoquios']
11934565,Acróstico,usera,439248.0,4469889.0,4037738097077750.0,-3715659887802670.0,"['DanzaBaile', 'FolcloreEtnica']"
11946331,Actividad de dibujo: Vamos a dibujar y poner el mundo al revés,centro,439775.0,4473962.0,4041410290844660.0,-3.70985912127358e+16,['CursosTalleres']
11956011,Acto de entrega del II Premio de Poesía María Lejárraga,hortaleza,444461.0,4482397.0,4049041562546540.0,-3655356751728000.0,['ConcursosCertamenes']
11939507,Actos de conmemoración del IV centenario de la canonización de San Isidro Labrador (1622-2022),centro,439289.0,4473597.0,4041077050441220.0,-3715552056000270.0,['TeatroPerformance']
11920627,Adrián Cano alias r.phlux.d,retiro,441277.0,4474496.0,4.0419011767401e+16,-3692206111679650.0,['CursosTalleres']
11956706,África y España II: de la Edad Media al siglo XIX,villa de vallecas,448550.0,4470424.0,4038281899948720.0,-3606140062044450.0,['ConferenciasColoquios']
11934599,Ágora Joven Junior,salamanca,441476.0,4475151.0,4.04249263476107e+16,-3.68992085196634e+16,['CuentacuentosTiteresMarionetas']
11942100,Aguas subterráneas,vicalvaro,447278.0,4472321.0,4039982891410400.0,-3621281890570370.0,['DanzaBaile']
11920596,Aïda Gómez,retiro,441277.0,4474496.0,4.0419011767401e+16,-3692206111679650.0,['CursosTalleres']
