District,possession of weapons,drug possession,drug offence,accident with victims,accident without victims,Consumption of alcohol on public roads,total offense
centro,21,296,60,44,61,856,1338
arganzuela,0,5,1,38,48,10,102
retiro,0,4,1,46,39,6,96
salamanca,1,26,1,55,71,15,169
chamartín,1,29,5,53,68,113,269
tetuán,4,10,0,43,45,3,105
chamberí,0,36,0,41,40,7,124
fuencarral - el pardo,0,14,1,45,55,17,132
moncloa - aravaca,0,7,3,23,39,4,76
latina,2,23,3,33,48,18,127
carabanchel,1,27,2,48,53,12,143
usera,0,9,2,26,46,9,92
puente de vallecas,10,37,6,49,86,59,247
moratalaz,0,2,0,16,24,2,44
ciudad lineal,3,39,1,48,59,38,188
hortaleza,1,31,5,26,46,39,148
villaverde,0,11,1,24,34,3,73
villa de vallecas,5,7,0,14,33,5,64
vicálvaro,1,1,2,7,17,15,43
san blas - canillejas,0,11,3,37,50,13,114
barajas,2,0,0,10,19,13,44
total,52,625,97,726,981,1257,3738
